WriteTemp,ReadTemp,DateTime
337.7,25.0,2026-04-09 18:32:03.903381
338.3,25.0,2026-04-09 18:32:05.903759
339.0,25.0,2026-04-09 18:32:07.904336
339.7,25.0,2026-04-09 18:32:09.904804
340.3,25.0,2026-04-09 18:32:11.905251
341.0,25.0,2026-04-09 18:32:13.905641
341.7,25.0,2026-04-09 18:32:15.905888
342.3,25.0,2026-04-09 18:32:17.906489
343.0,25.0,2026-04-09 18:32:19.907221
343.7,25.0,2026-04-09 18:32:21.907530
344.3,25.0,2026-04-09 18:32:23.908392
345.0,25.0,2026-04-09 18:32:25.901455
345.7,25.0,2026-04-09 18:32:27.901943
346.3,25.0,2026-04-09 18:32:29.902349
347.0,25.0,2026-04-09 18:32:31.902685
347.7,25.0,2026-04-09 18:32:33.903373
348.3,25.0,2026-04-09 18:32:35.903671
349.0,25.0,2026-04-09 18:32:37.904381
349.7,25.0,2026-04-09 18:32:39.904861
350.3,25.0,2026-04-09 18:32:41.905536
351.0,25.0,2026-04-09 18:32:43.906211
351.7,25.0,2026-04-09 18:32:45.906611
352.3,25.0,2026-04-09 18:32:47.906917
353.0,25.0,2026-04-09 18:32:49.907395
353.7,25.0,2026-04-09 18:32:51.907679
354.3,25.0,2026-04-09 18:32:53.908187
355.0,25.0,2026-04-09 18:32:55.900765
355.7,25.0,2026-04-09 18:32:57.901556
356.3,25.0,2026-04-09 18:32:59.901891
357.0,25.0,2026-04-09 18:33:01.902870
357.7,25.0,2026-04-09 18:33:03.903510
358.3,25.0,2026-04-09 18:33:05.903980
359.0,25.0,2026-04-09 18:33:07.904727
359.7,25.0,2026-04-09 18:33:09.905009
360.3,25.0,2026-04-09 18:33:11.905888
361.0,25.0,2026-04-09 18:33:13.906318
361.7,25.0,2026-04-09 18:33:15.906749
362.3,25.0,2026-04-09 18:33:17.907282
363.0,25.0,2026-04-09 18:33:19.907584
363.7,25.0,2026-04-09 18:33:21.908233
364.3,25.0,2026-04-09 18:33:23.908687
365.0,25.0,2026-04-09 18:33:25.900522
365.7,25.0,2026-04-09 18:33:27.901067
366.3,25.0,2026-04-09 18:33:29.901358
367.0,25.0,2026-04-09 18:33:31.902101
367.7,25.0,2026-04-09 18:33:33.902738
368.3,25.0,2026-04-09 18:33:35.903146
369.0,25.0,2026-04-09 18:33:37.903777
369.7,25.0,2026-04-09 18:33:39.904132
370.3,25.0,2026-04-09 18:33:41.904753
371.0,25.0,2026-04-09 18:33:43.905228
371.7,25.0,2026-04-09 18:33:45.905457
372.3,25.0,2026-04-09 18:33:47.905835
373.0,25.0,2026-04-09 18:33:49.906219
373.7,25.0,2026-04-09 18:33:51.907133
374.3,25.0,2026-04-09 18:33:53.907965
375.0,25.0,2026-04-09 18:33:55.900263
375.7,25.0,2026-04-09 18:33:57.900626
376.3,25.0,2026-04-09 18:33:59.901132
377.0,25.0,2026-04-09 18:34:01.901744
377.7,25.0,2026-04-09 18:34:03.902317
378.3,25.0,2026-04-09 18:34:05.902643
379.0,25.0,2026-04-09 18:34:07.903039
379.7,25.0,2026-04-09 18:34:09.903394
380.3,25.0,2026-04-09 18:34:11.903978
381.0,25.0,2026-04-09 18:34:13.904822
381.7,25.0,2026-04-09 18:34:15.905230
382.3,25.0,2026-04-09 18:34:17.905758
383.0,25.0,2026-04-09 18:34:19.906211
383.7,25.0,2026-04-09 18:34:21.906413
384.3,25.0,2026-04-09 18:34:23.906751
385.0,25.0,2026-04-09 18:34:25.896235
385.7,25.0,2026-04-09 18:34:27.896896
386.3,25.0,2026-04-09 18:34:29.897052
387.0,25.0,2026-04-09 18:34:31.897560
387.7,25.0,2026-04-09 18:34:33.898138
388.3,25.0,2026-04-09 18:34:35.898467
389.0,25.0,2026-04-09 18:34:37.899255
389.7,25.0,2026-04-09 18:34:39.899512
390.3,25.0,2026-04-09 18:34:41.900070
391.0,25.0,2026-04-09 18:34:43.900567
391.7,25.0,2026-04-09 18:34:45.900878
392.3,25.0,2026-04-09 18:34:47.901520
393.0,25.0,2026-04-09 18:34:49.901784
393.7,25.0,2026-04-09 18:34:51.902133
394.3,25.0,2026-04-09 18:34:53.902652
395.0,25.0,2026-04-09 18:34:55.896154
395.7,25.0,2026-04-09 18:34:57.896495
396.3,25.0,2026-04-09 18:34:59.896686
397.0,25.0,2026-04-09 18:35:01.897211
397.7,25.0,2026-04-09 18:35:03.897804
398.3,25.0,2026-04-09 18:35:05.898445
399.0,25.0,2026-04-09 18:35:07.898819
